,0
0,-122.63903045654297
1,-146.872314453125
2,-171.76095581054688
3,-197.3225860595703
4,-223.56861877441406
5,-250.51718139648438
6,-278.1855163574219
7,-306.5940246582031
8,-335.7518310546875
9,-365.6775207519531
10,-396.3901062011719
11,-427.9232177734375
12,-460.2672119140625
13,-493.4361267089844
14,-527.459716796875
15,-562.361083984375
16,-598.1522216796875
17,-634.854736328125
18,-672.4750366210938
19,-711.0184326171875
