,0
0,189.3864288330078
1,179.57254028320312
2,169.6361083984375
3,159.5437774658203
4,149.28468322753906
5,138.84117126464844
6,128.19448852539062
7,117.32760620117188
8,106.24232482910156
9,94.92068481445312
10,83.32656860351562
11,71.45327758789062
12,59.27973937988281
13,46.79054641723633
14,33.97413635253906
15,20.807662963867188
16,7.275172233581543
17,-6.624792098999023
18,-20.904678344726562
19,-35.58063507080078
